booking_id,user_id,technician_id,service_category,problem_description,booking_date,status,final_cost,rating,simulated_distance_deg
156,496,190,carpentry,"Bathroom cabinet door fell off, need repair.",2025-07-29 15:28:19.898493,Canceled,0,,0.0138
157,265,82,dish,"Receiver not picking up channels, needs configuration.",2025-12-26 15:28:19.898493,Canceled,0,,0.0298
158,473,1,electrical,Sparking sound coming from the wall outlet.,2025-08-11 15:28:19.898493,Canceled,0,,0.3852
159,131,156,oven/cooker,"Oven door won't close properly, heat escaping.",2025-06-08 15:28:19.898493,Completed,494,4.0,0.0257
160,146,8,home cleaning,"Carpet cleaning, multiple rooms, heavy stains.",2026-02-02 15:28:19.898493,Completed,256,2.0,0.0762
161,301,159,carpentry,Antique wooden table has cracks and needs restoration.,2026-02-08 15:28:19.898493,Completed,1146,5.0,0.13
162,16,87,fridge/freezer,Fridge leaking water inside on the shelves.,2026-01-18 15:28:19.898493,Canceled,0,,0.0361
163,294,54,oven/cooker,"Gas cooker burner won't ignite, clicking sound.",2025-04-19 15:28:19.898493,Canceled,0,,0.0296
164,137,149,oven/cooker,"Smell of gas near the stove, need urgent check.",2026-01-25 15:28:19.898493,Completed,597,3.0,0.1095
165,56,123,plumbing,The water heater is making strange noises and water is cold.,2026-01-22 15:28:19.898493,Canceled,0,,0.1241
166,59,71,oven/cooker,"Oven temperature is inconsistent, burns food.",2025-04-20 15:28:19.898493,Canceled,0,,0.3841
167,472,141,carpentry,New office desk needs professional assembly.,2026-01-09 15:28:19.898493,Canceled,0,,0.131
168,294,28,air condition,Annual AC maintenance and filter cleaning.,2026-03-21 15:28:19.898493,Completed,123,3.0,0.1081
169,236,187,air condition,"AC not cooling, probably needs freon refill.",2025-05-05 15:28:19.898493,Completed,790,4.0,0.1392
170,71,64,home cleaning,Deep cleaning before moving into a new apartment.,2025-07-18 15:28:19.898493,Completed,384,4.0,0.0306
171,44,194,fridge/freezer,Fridge leaking water inside on the shelves.,2025-09-15 15:28:19.898493,Completed,476,4.0,0.0452
172,289,121,electrical,Wall outlet stopped working and smells like burning.,2025-06-10 15:28:19.898493,Canceled,0,,0.0075
173,25,153,fan,Kitchen exhaust fan not pulling smoke out.,2025-05-29 15:28:19.898493,Canceled,0,,0.4046
174,35,28,air condition,"AC making loud noise, needs servicing.",2025-11-21 15:28:19.898493,Completed,123,2.0,0.4004
175,487,106,carpentry,Wall-mounted bookshelf needs professional installation.,2025-10-18 15:28:19.898493,Completed,596,3.0,0.1088
176,72,141,carpentry,Antique wooden table has cracks and needs restoration.,2025-06-25 15:28:19.898493,Completed,885,4.0,0.0506
177,35,161,carpentry,"Bathroom cabinet door fell off, need repair.",2025-09-12 15:28:19.898493,Canceled,0,,0.2977
178,369,66,oven/cooker,"Oven door won't close properly, heat escaping.",2025-12-24 15:28:19.898493,Completed,832,5.0,0.0289
179,60,100,plumbing,"Toilet is constantly running, wasting water.",2025-04-16 15:28:19.898493,Completed,222,3.0,0.0197
180,229,107,fridge/freezer,Refrigerator makes loud humming noise.,2025-12-19 15:28:19.898493,Canceled,0,,0.1339
181,175,114,fan,Pedestal fan making grinding noise.,2025-07-24 15:28:19.898493,Canceled,0,,0.0397
182,229,54,oven/cooker,Microwave turntable stopped spinning.,2025-12-14 15:28:19.898493,Completed,272,5.0,0.0164
183,469,129,fridge/freezer,"Auto-defrost not working, ice on back wall.",2025-12-01 15:28:19.898493,Completed,1072,5.0,0.0214
184,32,20,carpentry,Kitchen cabinet hinges are broken.,2025-05-30 15:28:19.898493,Canceled,0,,0.3875
185,356,183,plumbing,The toilet won't flush properly.,2025-10-09 15:28:19.898493,Completed,403,5.0,0.1382
186,154,45,oven/cooker,"Oven temperature is inconsistent, burns food.",2026-01-21 15:28:19.898493,Completed,386,4.0,0.1147
187,109,54,oven/cooker,Microwave sparking inside when turned on.,2025-05-12 15:28:19.898493,Completed,544,4.0,0.3345
188,437,194,fridge/freezer,Ice maker in the fridge stopped working.,2025-08-26 15:28:19.898493,Completed,476,4.0,0.0539
189,294,196,air condition,Split unit filter and coil cleaning.,2025-10-23 15:28:19.898493,Completed,254,3.0,0.0754
190,214,26,air condition,"AC making loud noise, needs servicing.",2025-10-09 15:28:19.898493,Completed,439,5.0,0.0249
191,54,43,fan,Ceiling fan wobbling dangerously when spinning.,2025-12-17 15:28:19.898493,Completed,496,4.0,0.0982
192,490,136,fridge/freezer,Fridge compressor running but not cooling.,2025-09-22 15:28:19.898493,Completed,1515,5.0,0.0036
193,95,133,plumbing,"Toilet is constantly running, wasting water.",2025-06-20 15:28:19.898493,Canceled,0,,0.188
194,193,171,air condition,Split unit filter and coil cleaning.,2025-06-15 15:28:19.898493,Canceled,0,,0.0155
195,205,115,fan,Kitchen exhaust fan not pulling smoke out.,2025-09-15 15:28:19.898493,Canceled,0,,0.0375
196,231,151,air condition,Need to install a new split unit in the bedroom.,2025-09-05 15:28:19.898493,Completed,777,4.0,0.1394
197,378,160,dish,Hide TV cables inside the wall for clean look.,2026-01-02 15:28:19.898493,Completed,362,4.0,0.0239
198,40,127,carpentry,New office desk needs professional assembly.,2025-09-05 15:28:19.898493,Canceled,0,,0.3221
199,86,129,fridge/freezer,Ice maker producing small or hollow ice cubes.,2025-10-10 15:28:19.898493,Canceled,0,,0.3215
200,209,82,dish,"Receiver not picking up channels, needs configuration.",2026-01-28 15:28:19.898493,Completed,540,4.0,0.0279
201,438,160,dish,New receiver programming and channel scan.,2026-03-23 15:28:19.898493,Canceled,0,,0.3413
202,444,143,home cleaning,Need a full apartment cleaning this weekend.,2026-03-06 15:28:19.898493,Completed,181,3.0,0.0318
203,207,115,fan,Attic ventilation fan installation needed.,2026-01-28 15:28:19.898493,Completed,594,4.0,0.0118
204,466,45,oven/cooker,"Cooker thermostat seems broken, overheating.",2026-02-16 15:28:19.898493,Completed,386,4.0,0.1117
205,188,112,air condition,"AC not cooling, probably needs freon refill.",2025-04-21 15:28:19.898493,Completed,490,5.0,0.0127
206,444,120,dish,Hide TV cables inside the wall for clean look.,2025-05-31 15:28:19.898493,Canceled,0,,0.1643
207,263,137,dish,"Dish was damaged in wind storm, needs fixing.",2025-06-21 15:28:19.898493,Completed,380,4.0,0.0368
208,315,83,electrical,Need to install new LED light fixtures in the kitchen.,2026-02-12 15:28:19.898493,Completed,534,4.0,0.038
209,149,80,fan,Pedestal fan making grinding noise.,2025-05-06 15:28:19.898493,Canceled,0,,0.0228
210,410,152,painter,"Ceiling has water stains, needs scraping and repainting.",2026-03-10 15:28:19.898493,Completed,224,4.0,0.0333
211,379,93,dish,Mount a 65-inch TV on the bedroom wall.,2025-07-02 15:28:19.898493,Completed,348,5.0,0.1353
212,191,80,fan,Pedestal fan making grinding noise.,2025-09-27 15:28:19.898493,Canceled,0,,0.0439
213,94,189,electrical,Wiring for the new smart TV setup.,2025-08-09 15:28:19.898493,Completed,374,4.0,0.0529
214,321,188,electrical,Sparking sound coming from the wall outlet.,2025-09-04 15:28:19.898493,Completed,1172,5.0,0.1283
215,413,87,fridge/freezer,Water pooling under the fridge.,2026-03-24 15:28:19.898493,Canceled,0,,0.1505
216,471,178,plumbing,"Toilet is constantly running, wasting water.",2025-08-23 15:28:19.898493,Completed,572,4.0,0.4397
217,271,16,carpentry,Kitchen cabinet hinges are broken.,2025-10-16 15:28:19.898493,Completed,220,3.0,0.4206
218,49,138,air condition,"AC not cooling, probably needs freon refill.",2025-06-18 15:28:19.898493,Canceled,0,,0.1302
219,251,195,dish,New receiver programming and channel scan.,2025-05-15 15:28:19.898493,Completed,224,3.0,0.0261
220,444,128,dish,"Receiver not picking up channels, needs configuration.",2026-03-06 15:28:19.898493,Canceled,0,,0.0613
221,183,167,plumbing,The water heater is making strange noises and water is cold.,2025-07-23 15:28:19.898493,Canceled,0,,0.4178
222,406,165,plumbing,Shower drain is very slow and smells terrible.,2025-08-21 15:28:19.898493,Canceled,0,,0.1539
223,127,196,air condition,"AC deep cleaning, bad smell coming from vents.",2025-06-14 15:28:19.898493,Canceled,0,,0.2935
224,392,102,fan,Replace old ceiling fan with a modern one.,2025-08-07 15:28:19.898493,Completed,896,5.0,0.0738
225,35,51,painter,Need to repaint the living room walls.,2026-02-25 15:28:19.898493,Completed,812,5.0,0.0479
226,123,63,carpentry,Wall-mounted bookshelf needs professional installation.,2025-12-02 15:28:19.898493,Completed,414,4.0,0.0154
227,122,131,painter,Fresh paint job for the entire apartment.,2025-06-14 15:28:19.898493,Canceled,0,,0.1672
228,453,58,plumbing,My kitchen sink is leaking continuously.,2025-06-24 15:28:19.898493,Canceled,0,,0.0016
229,153,85,plumbing,The toilet won't flush properly.,2025-12-04 15:28:19.898493,Completed,524,5.0,0.0299
230,58,145,fan,Pedestal fan making grinding noise.,2025-08-30 15:28:19.898493,Canceled,0,,0.0176
231,79,52,dish,"Receiver not picking up channels, needs configuration.",2025-05-20 15:28:19.898493,Completed,370,5.0,0.0283
232,164,48,painter,Textured wall finish for the bedroom.,2025-04-24 15:28:19.898493,Completed,1293,5.0,0.0182
233,383,29,dish,"Satellite signal is weak, dish needs realignment.",2025-04-23 15:28:19.898493,Completed,726,5.0,0.0256
234,107,117,home cleaning,"Kitchen deep clean, grease buildup on surfaces.",2025-07-09 15:28:19.898493,Canceled,0,,0.3021
235,53,184,air condition,Annual AC maintenance and filter cleaning.,2025-04-09 15:28:19.898493,Canceled,0,,0.2298
236,20,187,air condition,Annual AC maintenance and filter cleaning.,2025-09-23 15:28:19.898493,Completed,395,5.0,0.0259
